,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,53.31510066171346,Heinz2001,Heinz2001,40.0,51.0,40.0,0.9964569756112008,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,63.31510066171346,Heinz2001,Heinz2001,40.0,51.0,50.0,2.4916407690149125,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,73.31510066171346,Heinz2001,Heinz2001,40.0,51.0,60.0,1.569504805481259,none
3,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,83.31510066171346,Heinz2001,Heinz2001,40.0,51.0,70.0,0.5782114568763131,none
4,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,93.31510066171346,Heinz2001,Heinz2001,40.0,51.0,80.0,0.3622884162702345,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,53.61671705526375,Heinz2001,Heinz2001,40.0,51.0,40.0,0.9900960527717122,none
6,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,63.61671705526375,Heinz2001,Heinz2001,40.0,51.0,50.0,2.6228142513169446,none
7,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,73.61671705526375,Heinz2001,Heinz2001,40.0,51.0,60.0,2.4681615639283314,none
8,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,83.61671705526375,Heinz2001,Heinz2001,40.0,51.0,70.0,0.7405541790568587,none
9,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,93.61671705526375,Heinz2001,Heinz2001,40.0,51.0,80.0,0.36648586046901893,none
10,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,54.014401565273985,Heinz2001,Heinz2001,40.0,51.0,40.0,1.1084457783835686,none
11,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,64.01440156527399,Heinz2001,Heinz2001,40.0,51.0,50.0,2.9046138066018843,none
12,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,74.01440156527399,Heinz2001,Heinz2001,40.0,51.0,60.0,0.9222580431873356,none
13,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,84.01440156527399,Heinz2001,Heinz2001,40.0,51.0,70.0,0.2635668319823199,none
14,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,94.01440156527399,Heinz2001,Heinz2001,40.0,51.0,80.0,0.18258031142320832,none
15,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,54.4939876158342,Heinz2001,Heinz2001,40.0,51.0,40.0,1.206688144986683,none
16,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,64.4939876158342,Heinz2001,Heinz2001,40.0,51.0,50.0,3.218046852622284,none
17,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,74.4939876158342,Heinz2001,Heinz2001,40.0,51.0,60.0,2.0036591546284273,none
18,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,84.4939876158342,Heinz2001,Heinz2001,40.0,51.0,70.0,0.5884177156171306,none
19,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,94.4939876158342,Heinz2001,Heinz2001,40.0,51.0,80.0,0.31683459447131984,none
20,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,54.972581766637475,Heinz2001,Heinz2001,40.0,51.0,40.0,1.2602538718889476,none
21,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,64.97258176663748,Heinz2001,Heinz2001,40.0,51.0,50.0,1.0478068059751562,none
22,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,74.97258176663748,Heinz2001,Heinz2001,40.0,51.0,60.0,0.18447374901754057,none
23,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,84.97258176663748,Heinz2001,Heinz2001,40.0,51.0,70.0,0.07734297588047653,none
24,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,94.97258176663748,Heinz2001,Heinz2001,40.0,51.0,80.0,0.05106758175427757,none
25,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,55.43464390139043,Heinz2001,Heinz2001,40.0,51.0,40.0,1.3644177821898982,none
26,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,65.43464390139043,Heinz2001,Heinz2001,40.0,51.0,50.0,2.7674727539121986,none
27,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,75.43464390139043,Heinz2001,Heinz2001,40.0,51.0,60.0,1.0089583484133056,none
28,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,85.43464390139043,Heinz2001,Heinz2001,40.0,51.0,70.0,0.4532113626839425,none
29,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,95.43464390139043,Heinz2001,Heinz2001,40.0,51.0,80.0,0.30006898621479494,none
30,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,55.926474117245625,Heinz2001,Heinz2001,40.0,51.0,40.0,1.5198149809647963,none
31,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,65.92647411724562,Heinz2001,Heinz2001,40.0,51.0,50.0,2.6222613383819806,none
32,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,75.92647411724562,Heinz2001,Heinz2001,40.0,51.0,60.0,0.7673203540464917,none
33,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,85.92647411724562,Heinz2001,Heinz2001,40.0,51.0,70.0,0.3827578309169683,none
34,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,95.92647411724562,Heinz2001,Heinz2001,40.0,51.0,80.0,0.23034419842827641,none
35,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,56.433654302771586,Heinz2001,Heinz2001,40.0,51.0,40.0,1.7250967723213553,none
36,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,66.43365430277159,Heinz2001,Heinz2001,40.0,51.0,50.0,4.035523585406053,none
37,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,76.43365430277159,Heinz2001,Heinz2001,40.0,51.0,60.0,1.1278352871316586,none
38,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,86.43365430277159,Heinz2001,Heinz2001,40.0,51.0,70.0,0.47894167992764425,none
39,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,96.43365430277159,Heinz2001,Heinz2001,40.0,51.0,80.0,0.27857778639437397,none
40,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,56.896005181474834,Heinz2001,Heinz2001,40.0,51.0,40.0,1.9014756491952958,none
41,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,66.89600518147483,Heinz2001,Heinz2001,40.0,51.0,50.0,3.2496144712248896,none
42,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,76.89600518147483,Heinz2001,Heinz2001,40.0,51.0,60.0,0.951314380084855,none
43,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,86.89600518147483,Heinz2001,Heinz2001,40.0,51.0,70.0,0.3533245940918544,none
44,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,96.89600518147483,Heinz2001,Heinz2001,40.0,51.0,80.0,0.202944823389294,none
45,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,57.270005918784854,Heinz2001,Heinz2001,40.0,51.0,40.0,1.9846031254465062,none
46,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,67.27000591878485,Heinz2001,Heinz2001,40.0,51.0,50.0,2.9620747907675935,none
47,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,77.27000591878485,Heinz2001,Heinz2001,40.0,51.0,60.0,0.7289190772914415,none
48,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,87.27000591878485,Heinz2001,Heinz2001,40.0,51.0,70.0,0.3574549825118487,none
49,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,97.27000591878485,Heinz2001,Heinz2001,40.0,51.0,80.0,0.20584522436751995,none
50,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,57.52872377209741,Heinz2001,Heinz2001,40.0,51.0,40.0,2.0877125365347613,none
51,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,67.52872377209741,Heinz2001,Heinz2001,40.0,51.0,50.0,0.7344877804164313,none
52,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,77.52872377209741,Heinz2001,Heinz2001,40.0,51.0,60.0,0.2928583084120025,none
53,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,87.52872377209741,Heinz2001,Heinz2001,40.0,51.0,70.0,0.16385166692348208,none
54,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,97.52872377209741,Heinz2001,Heinz2001,40.0,51.0,80.0,0.1232834311110973,none
55,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,57.692465385188825,Heinz2001,Heinz2001,40.0,51.0,40.0,2.3582063290005957,none
56,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,67.69246538518883,Heinz2001,Heinz2001,40.0,51.0,50.0,0.78838937890489,none
57,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,77.69246538518883,Heinz2001,Heinz2001,40.0,51.0,60.0,0.3375754451280341,none
58,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,87.69246538518883,Heinz2001,Heinz2001,40.0,51.0,70.0,0.19140287612348428,none
59,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,97.69246538518883,Heinz2001,Heinz2001,40.0,51.0,80.0,0.1427448450661819,none
60,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,57.80056044509692,Heinz2001,Heinz2001,40.0,51.0,40.0,2.5338533781387182,none
61,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,67.80056044509692,Heinz2001,Heinz2001,40.0,51.0,50.0,2.40022056573261,none
62,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,77.80056044509692,Heinz2001,Heinz2001,40.0,51.0,60.0,0.6368209063900019,none
63,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,87.80056044509692,Heinz2001,Heinz2001,40.0,51.0,70.0,0.2747578687595359,none
64,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,97.80056044509692,Heinz2001,Heinz2001,40.0,51.0,80.0,0.1684242066604294,none
65,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,57.869024043681044,Heinz2001,Heinz2001,40.0,51.0,40.0,2.682348525844029,none
66,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,67.86902404368104,Heinz2001,Heinz2001,40.0,51.0,50.0,1.4485537240419593,none
67,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,77.86902404368104,Heinz2001,Heinz2001,40.0,51.0,60.0,0.2709822110247515,none
68,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,87.86902404368104,Heinz2001,Heinz2001,40.0,51.0,70.0,0.07725493464618566,none
69,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,97.86902404368104,Heinz2001,Heinz2001,40.0,51.0,80.0,0.05782644778441079,none
70,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,500000.0,57.90565767089101,Heinz2001,Heinz2001,40.0,51.0,40.0,2.898484892830625,none
71,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,500000.0,67.905657670891,Heinz2001,Heinz2001,40.0,51.0,50.0,2.2118672065365703,none
72,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,500000.0,77.905657670891,Heinz2001,Heinz2001,40.0,51.0,60.0,0.6526696144578231,none
73,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,500000.0,87.905657670891,Heinz2001,Heinz2001,40.0,51.0,70.0,0.2332172690086297,none
74,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,500000.0,97.905657670891,Heinz2001,Heinz2001,40.0,51.0,80.0,0.15122690699862334,none
75,[0.],791.8815200973457,8710.696721070803,3959.407600486729,RP,[0.001],0.1,0.01,500000.0,57.92219396501764,Heinz2001,Heinz2001,40.0,51.0,40.0,3.0768802286245482,none
76,[0.],791.8815200973457,8710.696721070803,3959.407600486729,RP,[0.001],0.1,0.01,500000.0,67.92219396501764,Heinz2001,Heinz2001,40.0,51.0,50.0,2.7408228840323683,none
77,[0.],791.8815200973457,8710.696721070803,3959.407600486729,RP,[0.001],0.1,0.01,500000.0,77.92219396501764,Heinz2001,Heinz2001,40.0,51.0,60.0,0.7635102125255177,none
78,[0.],791.8815200973457,8710.696721070803,3959.407600486729,RP,[0.001],0.1,0.01,500000.0,87.92219396501764,Heinz2001,Heinz2001,40.0,51.0,70.0,0.2904218976125043,none
79,[0.],791.8815200973457,8710.696721070803,3959.407600486729,RP,[0.001],0.1,0.01,500000.0,97.92219396501764,Heinz2001,Heinz2001,40.0,51.0,80.0,0.20157800289900962,none
80,[0.],875.17254814933,9626.89802964263,4375.86274074665,RP,[0.001],0.1,0.01,500000.0,57.92984240473501,Heinz2001,Heinz2001,40.0,51.0,40.0,3.3437844130097747,none
81,[0.],875.17254814933,9626.89802964263,4375.86274074665,RP,[0.001],0.1,0.01,500000.0,67.92984240473501,Heinz2001,Heinz2001,40.0,51.0,50.0,2.759669038869541,none
82,[0.],875.17254814933,9626.89802964263,4375.86274074665,RP,[0.001],0.1,0.01,500000.0,77.92984240473501,Heinz2001,Heinz2001,40.0,51.0,60.0,0.7266912469981829,none
83,[0.],875.17254814933,9626.89802964263,4375.86274074665,RP,[0.001],0.1,0.01,500000.0,87.92984240473501,Heinz2001,Heinz2001,40.0,51.0,70.0,0.3853407170637872,none
84,[0.],875.17254814933,9626.89802964263,4375.86274074665,RP,[0.001],0.1,0.01,500000.0,97.92984240473501,Heinz2001,Heinz2001,40.0,51.0,80.0,0.19306460160524158,none
85,[0.],967.2242243259274,10639.466467585202,4836.121121629637,RP,[0.001],0.1,0.01,500000.0,57.93326042881357,Heinz2001,Heinz2001,40.0,51.0,40.0,2.889923777546506,none
86,[0.],967.2242243259274,10639.466467585202,4836.121121629637,RP,[0.001],0.1,0.01,500000.0,67.93326042881357,Heinz2001,Heinz2001,40.0,51.0,50.0,0.9751666227201528,none
87,[0.],967.2242243259274,10639.466467585202,4836.121121629637,RP,[0.001],0.1,0.01,500000.0,77.93326042881357,Heinz2001,Heinz2001,40.0,51.0,60.0,0.5632098350161099,none
88,[0.],967.2242243259274,10639.466467585202,4836.121121629637,RP,[0.001],0.1,0.01,500000.0,87.93326042881357,Heinz2001,Heinz2001,40.0,51.0,70.0,0.2642769866580857,none
89,[0.],967.2242243259274,10639.466467585202,4836.121121629637,RP,[0.001],0.1,0.01,500000.0,97.93326042881357,Heinz2001,Heinz2001,40.0,51.0,80.0,0.16383353734162254,none
90,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,RP,[0.001],0.1,0.01,500000.0,57.9349565625874,Heinz2001,Heinz2001,40.0,51.0,40.0,3.938466584218503,none
91,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,RP,[0.001],0.1,0.01,500000.0,67.9349565625874,Heinz2001,Heinz2001,40.0,51.0,50.0,3.0542151864097966,none
92,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,RP,[0.001],0.1,0.01,500000.0,77.9349565625874,Heinz2001,Heinz2001,40.0,51.0,60.0,0.698693874082957,none
93,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,RP,[0.001],0.1,0.01,500000.0,87.9349565625874,Heinz2001,Heinz2001,40.0,51.0,70.0,0.3176551412365087,none
94,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,RP,[0.001],0.1,0.01,500000.0,97.9349565625874,Heinz2001,Heinz2001,40.0,51.0,80.0,0.1650336236120067,none
95,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,RP,[0.001],0.1,0.01,500000.0,57.93567429329934,Heinz2001,Heinz2001,40.0,51.0,40.0,4.202158278917702,none
96,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,RP,[0.001],0.1,0.01,500000.0,67.93567429329934,Heinz2001,Heinz2001,40.0,51.0,50.0,3.2410060135783874,none
97,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,RP,[0.001],0.1,0.01,500000.0,77.93567429329934,Heinz2001,Heinz2001,40.0,51.0,60.0,0.7184377191051023,none
98,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,RP,[0.001],0.1,0.01,500000.0,87.93567429329934,Heinz2001,Heinz2001,40.0,51.0,70.0,0.24532169836178372,none
99,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,RP,[0.001],0.1,0.01,500000.0,97.93567429329934,Heinz2001,Heinz2001,40.0,51.0,80.0,0.16411696767637438,none
100,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,RP,[0.001],0.1,0.01,500000.0,57.93582763958207,Heinz2001,Heinz2001,40.0,51.0,40.0,2.4341182508475856,none
101,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,RP,[0.001],0.1,0.01,500000.0,67.93582763958207,Heinz2001,Heinz2001,40.0,51.0,50.0,1.3478126654586298,none
102,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,RP,[0.001],0.1,0.01,500000.0,77.93582763958207,Heinz2001,Heinz2001,40.0,51.0,60.0,0.39219871504677706,none
103,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,RP,[0.001],0.1,0.01,500000.0,87.93582763958207,Heinz2001,Heinz2001,40.0,51.0,70.0,0.2862120985325068,none
104,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,RP,[0.001],0.1,0.01,500000.0,97.93582763958207,Heinz2001,Heinz2001,40.0,51.0,80.0,0.21465205398407433,none
105,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,RP,[0.001],0.1,0.01,500000.0,57.9358269497419,Heinz2001,Heinz2001,40.0,51.0,40.0,1.2751321118251477,none
106,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,RP,[0.001],0.1,0.01,500000.0,67.93582694974191,Heinz2001,Heinz2001,40.0,51.0,50.0,0.15597572545861368,none
107,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,RP,[0.001],0.1,0.01,500000.0,77.93582694974191,Heinz2001,Heinz2001,40.0,51.0,60.0,0.07050183470368823,none
108,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,RP,[0.001],0.1,0.01,500000.0,87.93582694974191,Heinz2001,Heinz2001,40.0,51.0,70.0,0.05496477300654821,none
109,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,RP,[0.001],0.1,0.01,500000.0,97.93582694974191,Heinz2001,Heinz2001,40.0,51.0,80.0,0.04637115316001784,none
110,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,RP,[0.001],0.1,0.01,500000.0,57.9359610391039,Heinz2001,Heinz2001,40.0,51.0,40.0,4.244890198378066,none
111,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,RP,[0.001],0.1,0.01,500000.0,67.9359610391039,Heinz2001,Heinz2001,40.0,51.0,50.0,0.9590756924866992,none
112,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,RP,[0.001],0.1,0.01,500000.0,77.9359610391039,Heinz2001,Heinz2001,40.0,51.0,60.0,0.4124830778924631,none
113,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,RP,[0.001],0.1,0.01,500000.0,87.9359610391039,Heinz2001,Heinz2001,40.0,51.0,70.0,0.30374613939600154,none
114,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,RP,[0.001],0.1,0.01,500000.0,97.9359610391039,Heinz2001,Heinz2001,40.0,51.0,80.0,0.17973249257897278,none
115,[0.],1762.495576511835,19387.451341630185,8812.477882559175,RP,[0.001],0.1,0.01,500000.0,57.93628841703492,Heinz2001,Heinz2001,40.0,51.0,40.0,5.843275481937414,none
116,[0.],1762.495576511835,19387.451341630185,8812.477882559175,RP,[0.001],0.1,0.01,500000.0,67.93628841703492,Heinz2001,Heinz2001,40.0,51.0,50.0,2.061752770127108,none
117,[0.],1762.495576511835,19387.451341630185,8812.477882559175,RP,[0.001],0.1,0.01,500000.0,77.93628841703492,Heinz2001,Heinz2001,40.0,51.0,60.0,0.5572897508101826,none
118,[0.],1762.495576511835,19387.451341630185,8812.477882559175,RP,[0.001],0.1,0.01,500000.0,87.93628841703492,Heinz2001,Heinz2001,40.0,51.0,70.0,0.2651765689564848,none
119,[0.],1762.495576511835,19387.451341630185,8812.477882559175,RP,[0.001],0.1,0.01,500000.0,97.93628841703492,Heinz2001,Heinz2001,40.0,51.0,80.0,0.14851937389312544,none
